id,HandStart,FirstDigitTouch,BothStartLoadPhase,LiftOff,Replace,BothReleased
subj4_series5_0,0,0,0,0,0,0
subj4_series5_1,0,0,0,0,0,0
subj4_series5_2,0,0,0,0,0,0
subj4_series5_3,0,0,0,0,0,0
subj4_series5_4,0,0,0,0,0,0
subj4_series5_5,0,0,0,0,0,0
subj4_series5_6,0,0,0,0,0,0
subj4_series5_7,0,0,0,0,0,0
subj4_series5_8,0,0,0,0,0,0
subj4_series5_9,0,0,0,0,0,0
subj4_series5_10,0,0,0,0,0,0
subj4_series5_11,0,0,0,0,0,0
subj4_series5_12,0,0,0,0,0,0
subj4_series5_13,0,0,0,0,0,0
subj4_series5_14,0,0,0,0,0,0
subj4_series5_15,0,0,0,0,0,0
subj4_series5_16,0,0,0,0,0,0
subj4_series5_17,0,0,0,0,0,0
subj4_series5_18,0,0,0,0,0,0
subj4_series5_19,0,0,0,0,0,0
subj4_series5_20,0,0,0,0,0,0
subj4_series5_21,0,0,0,0,0,0
subj4_series5_22,0,0,0,0,0,0
subj4_series5_23,0,0,0,0,0,0
subj4_series5_24,0,0,0,0,0,0
subj4_series5_25,0,0,0,0,0,0
subj4_series5_26,0,0,0,0,0,0
subj4_series5_27,0,0,0,0,0,0
subj4_series5_28,0,0,0,0,0,0
subj4_series5_29,0,0,0,0,0,0
subj4_series5_30,0,0,0,0,0,0
subj4_series5_31,0,0,0,0,0,0
subj4_series5_32,0,0,0,0,0,0
subj4_series5_33,0,0,0,0,0,0
subj4_series5_34,0,0,0,0,0,0
subj4_series5_35,0,0,0,0,0,0
subj4_series5_36,0,0,0,0,0,0
subj4_series5_37,0,0,0,0,0,0
subj4_series5_38,0,0,0,0,0,0
subj4_series5_39,0,0,0,0,0,0
subj4_series5_40,0,0,0,0,0,0
subj4_series5_41,0,0,0,0,0,0
subj4_series5_42,0,0,0,0,0,0
subj4_series5_43,0,0,0,0,0,0
subj4_series5_44,0,0,0,0,0,0
subj4_series5_45,0,0,0,0,0,0
subj4_series5_46,0,0,0,0,0,0
subj4_series5_47,0,0,0,0,0,0
subj4_series5_48,0,0,0,0,0,0
subj4_series5_49,0,0,0,0,0,0
subj4_series5_50,0,0,0,0,0,0
subj4_series5_51,0,0,0,0,0,0
subj4_series5_52,0,0,0,0,0,0
subj4_series5_53,0,0,0,0,0,0
subj4_series5_54,0,0,0,0,0,0
subj4_series5_55,0,0,0,0,0,0
subj4_series5_56,0,0,0,0,0,0
subj4_series5_57,0,0,0,0,0,0
subj4_series5_58,0,0,0,0,0,0
subj4_series5_59,0,0,0,0,0,0
subj4_series5_60,0,0,0,0,0,0
subj4_series5_61,0,0,0,0,0,0
subj4_series5_62,0,0,0,0,0,0
subj4_series5_63,0,0,0,0,0,0
subj4_series5_64,0,0,0,0,0,0
subj4_series5_65,0,0,0,0,0,0
subj4_series5_66,0,0,0,0,0,0
subj4_series5_67,0,0,0,0,0,0
subj4_series5_68,0,0,0,0,0,0
subj4_series5_69,0,0,0,0,0,0
subj4_series5_70,0,0,0,0,0,0
subj4_series5_71,0,0,0,0,0,0
subj4_series5_72,0,0,0,0,0,0
subj4_series5_73,0,0,0,0,0,0
subj4_series5_74,0,0,0,0,0,0
subj4_series5_75,0,0,0,0,0,0
subj4_series5_76,0,0,0,0,0,0
subj4_series5_77,0,0,0,0,0,0
subj4_series5_78,0,0,0,0,0,0
subj4_series5_79,0,0,0,0,0,0
subj4_series5_80,0,0,0,0,0,0
subj4_series5_81,0,0,0,0,0,0
subj4_series5_82,0,0,0,0,0,0
subj4_series5_83,0,0,0,0,0,0
subj4_series5_84,0,0,0,0,0,0
subj4_series5_85,0,0,0,0,0,0
subj4_series5_86,0,0,0,0,0,0
subj4_series5_87,0,0,0,0,0,0
subj4_series5_88,0,0,0,0,0,0
subj4_series5_89,0,0,0,0,0,0
subj4_series5_90,0,0,0,0,0,0
subj4_series5_91,0,0,0,0,0,0
subj4_series5_92,0,0,0,0,0,0
subj4_series5_93,0,0,0,0,0,0
